Warning: Only java properties are supported in JAVA_OPTS and JDK_JAVA_OPTIONS environment variables. Other options are ignored: -Xmx16g, -Xss1g, -Xmx16g, -Xss1g
[90mCompiling project (Scala 3.6.4, JVM (17))[0m
[90mCompiled project (Scala 3.6.4, JVM (17))[0m
NOTE: Picked up JDK_JAVA_OPTIONS: -Xmx16g -Xss1g -Djava.library.path=/usr/local/scala/javalib
# ./RunBM.scala . ./PiaPijab.out.gz ./representativeMSA.fasta.gz
# seed for scala.util.Random = 19
# seed for org.sanzo.potts.SetSeedForRand.randBasis = 0
trying to return java 16 instance
Mar 29, 2025 4:35:19 PM dev.ludovic.netlib.blas.InstanceBuilder initializeJava
WARNING: Failed to load implementation from:dev.ludovic.netlib.blas.VectorBLAS
return java 11 instance
ModAdam: step= 56  56  sqrt(max_i m^_i^2)= 0.186596  sqrt(sum_i m^_i^2)= 1.402632  ratio= 0.133033  learning rate for ModAdam= 0.016993  learning rate= 0.003360
ModAdam: step= 57  57  sqrt(max_i v^_i)=   0.197756  sqrt(sum_i v^_i)=   2.799147  ratio= 0.070649  learning rate for ModAdam= 0.017294  learning rate= 0.003420
ModAdam: step= 57  57  sqrt(max_i m^_i^2)= 0.187847  sqrt(sum_i m^_i^2)= 1.400731  ratio= 0.134106  learning rate for ModAdam= 0.017294  learning rate= 0.003420
ModAdam: step= 58  58  sqrt(max_i v^_i)=   0.198083  sqrt(sum_i v^_i)=   2.798913  ratio= 0.070771  learning rate for ModAdam= 0.017568  learning rate= 0.003480
ModAdam: step= 58  58  sqrt(max_i m^_i^2)= 0.190609  sqrt(sum_i m^_i^2)= 1.399201  ratio= 0.136227  learning rate for ModAdam= 0.017568  learning rate= 0.003480
ModAdam: step= 59  59  sqrt(max_i v^_i)=   0.197858  sqrt(sum_i v^_i)=   2.798141  ratio= 0.070711  learning rate for ModAdam= 0.017892  learning rate= 0.003540
ModAdam: step= 59  59  sqrt(max_i m^_i^2)= 0.190025  sqrt(sum_i m^_i^2)= 1.395484  ratio= 0.136171  learning rate for ModAdam= 0.017892  learning rate= 0.003540
ModAdam: step= 60  60  sqrt(max_i v^_i)=   0.197258  sqrt(sum_i v^_i)=   2.797762  ratio= 0.070506  learning rate for ModAdam= 0.018250  learning rate= 0.003600
ModAdam: step= 60  60  sqrt(max_i m^_i^2)= 0.186932  sqrt(sum_i m^_i^2)= 1.390999  ratio= 0.134387  learning rate for ModAdam= 0.018250  learning rate= 0.003600
ModAdam: step= 61  61  sqrt(max_i v^_i)=   0.197114  sqrt(sum_i v^_i)=   2.797359  ratio= 0.070464  learning rate for ModAdam= 0.018568  learning rate= 0.003660
ModAdam: step= 61  61  sqrt(max_i m^_i^2)= 0.187097  sqrt(sum_i m^_i^2)= 1.391220  ratio= 0.134484  learning rate for ModAdam= 0.018568  learning rate= 0.003660
ModAdam: step= 62  62  sqrt(max_i v^_i)=   0.198078  sqrt(sum_i v^_i)=   2.797256  ratio= 0.070812  learning rate for ModAdam= 0.018780  learning rate= 0.003720
ModAdam: step= 62  62  sqrt(max_i m^_i^2)= 0.193250  sqrt(sum_i m^_i^2)= 1.392283  ratio= 0.138801  learning rate for ModAdam= 0.018780  learning rate= 0.003720
ModAdam: step= 63  63  sqrt(max_i v^_i)=   0.197937  sqrt(sum_i v^_i)=   2.797148  ratio= 0.070764  learning rate for ModAdam= 0.019097  learning rate= 0.003780
ModAdam: step= 63  63  sqrt(max_i m^_i^2)= 0.192850  sqrt(sum_i m^_i^2)= 1.392449  ratio= 0.138497  learning rate for ModAdam= 0.019097  learning rate= 0.003780
ModAdam: step= 64  64  sqrt(max_i v^_i)=   0.197306  sqrt(sum_i v^_i)=   2.796836  ratio= 0.070546  learning rate for ModAdam= 0.019462  learning rate= 0.003840
ModAdam: step= 64  64  sqrt(max_i m^_i^2)= 0.188957  sqrt(sum_i m^_i^2)= 1.392459  ratio= 0.135700  learning rate for ModAdam= 0.019462  learning rate= 0.003840
