# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000500000  lambdaPhij= 0.00200000  ungauged  ModAdam  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.0100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site; pseudoNCountsForhia= 10.0
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep  with pseudoNCountsForProposedPia= 10.0
# nIndependentMC= 7007  miniBatchSize= 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run: 1
# nUnits= 48  nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 10
# initialT= 1.00000  finalT= 1.00000  annealingRate= 0.990000 ; annealingRate may be adjusted.
# maxExtendedIterations= 1
# minLearningStepsForBestKL= 3876  minLearningSteps= 1836  maxNoLearnings= 204
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 ,
# with the corrections, pseudoNCountsForBM= 0.0 , to avoid 0-counts.
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and those over 97 minibatch ensembles with pseudoNCountsForKL= 1.00000
#0	0 0	0.0975072 1.19667	0.00000 0.0648353
197	0 1	0.0883314 1.13808	0.00147294 0.0895529
198	0 1	0.109503 1.18358	0.00149036 0.0894909
199	0 1	0.102711 1.16300	0.00149979 0.0894559
200	0 1	0.103313 1.16227	0.00149731 0.0894646
201	0 1	0.105654 1.16694	0.00150672 0.0893724
202	0 1	0.0985510 1.16495	0.00151174 0.0893959
203	0 1	0.104622 1.17300	0.00153686 0.0893130
204	0 1	0.117505 1.17645	0.00155499 0.0892243
205	0 1	0.0979365 1.15999	0.00157313 0.0890584
206	0 1	0.112904 1.17020	0.00159075 0.0890476
207	0 1	0.106101 1.16932	0.00163072 0.0890784
208	0 1	0.109174 1.17622	0.00164285 0.0889552
209	0 1	0.109889 1.17817	0.00166085 0.0888820
210	0 1	0.103543 1.16966	0.00166908 0.0887461
211	0 1	0.106779 1.19492	0.00168452 0.0886277
212	0 1	0.108297 1.16449	0.00171798 0.0885964
213	0 1	0.100494 1.15260	0.00173075 0.0884347
214	0 1	0.102419 1.15581	0.00175407 0.0883750
215	0 1	0.0966502 1.13921	0.00179006 0.0883179
216	0 1	0.0987853 1.15381	0.00179822 0.0883260
217	0 1	0.100459 1.15590	0.00182570 0.0882596
218	0 1	0.113922 1.17028	0.00186604 0.0882389
219	0 1	0.0942787 1.16136	0.00188808 0.0882600
220	0 1	0.0944421 1.15905	0.00189152 0.0881963
221	0 1	0.104776 1.15171	0.00195382 0.0882634
222	0 1	0.0969812 1.14611	0.00198427 0.0882816
223	0 1	0.104263 1.14843	0.00205640 0.0882901
224	0 1	0.114625 1.19125	0.00207340 0.0882015
225	0 1	0.100538 1.16928	0.00209912 0.0881930
226	0 1	0.104092 1.16470	0.00212117 0.0881411
227	0 1	0.100466 1.15086	0.00214976 0.0881105
228	0 1	0.118084 1.17544	0.00218881 0.0880093
229	0 1	0.106630 1.15217	0.00220487 0.0879563
230	0 1	0.103633 1.17324	0.00220906 0.0878667
231	0 1	0.0938998 1.14124	0.00222099 0.0877692
232	0 1	0.101256 1.15722	0.00221604 0.0876264
233	0 1	0.100689 1.16011	0.00223996 0.0875937
234	0 1	0.105642 1.16867	0.00223183 0.0875673
235	0 1	0.108932 1.18881	0.00225584 0.0875342
236	0 1	0.113752 1.17151	0.00227893 0.0875676
237	0 1	0.0931715 1.15237	0.00225828 0.0875814
238	0 1	0.112364 1.17470	0.00227086 0.0875543
239	0 1	0.104277 1.15716	0.00229924 0.0875149
240	0 1	0.0968627 1.15575	0.00231666 0.0875146
241	0 1	0.0936876 1.13392	0.00234620 0.0874214
242	0 1	0.102522 1.14486	0.00237309 0.0873945
243	0 1	0.0997582 1.14660	0.00239197 0.0874350
244	0 1	0.100776 1.15026	0.00240881 0.0873914
245	0 1	0.107446 1.16190	0.00244497 0.0873957
246	0 1	0.102932 1.16135	0.00247624 0.0874123
247	0 1	0.108422 1.14836	0.00247816 0.0873101
248	0 1	0.104967 1.15503	0.00249358 0.0873106
249	0 1	0.0982466 1.15191	0.00252204 0.0874463
250	0 1	0.0987534 1.17442	0.00253892 0.0874952
251	0 1	0.100352 1.16510	0.00256938 0.0874814
252	0 1	0.109769 1.16144	0.00258581 0.0874010
253	0 1	0.104871 1.15936	0.00262677 0.0874180
254	0 1	0.0983032 1.15251	0.00261223 0.0873417
255	0 1	0.103239 1.15082	0.00265293 0.0873206
256	0 1	0.0935278 1.14950	0.00262456 0.0872502
257	0 1	0.108595 1.16232	0.00266769 0.0872280
258	0 1	0.0953444 1.13455	0.00270600 0.0871614
259	0 1	0.107090 1.17688	0.00273417 0.0871704
260	0 1	0.106604 1.16575	0.00274126 0.0872648
261	0 1	0.105019 1.17654	0.00274952 0.0872111
262	0 1	0.109942 1.16887	0.00278193 0.0871834
263	0 1	0.0996912 1.15044	0.00283986 0.0872089
264	0 1	0.108091 1.15451	0.00289361 0.0873055
265	0 1	0.119718 1.19637	0.00292823 0.0872718
266	0 1	0.109517 1.14367	0.00293593 0.0872167
267	0 1	0.0997617 1.15157	0.00295012 0.0872033
268	0 1	0.102199 1.16430	0.00296252 0.0872879
269	0 1	0.108846 1.17036	0.00300928 0.0872957
270	0 1	0.100660 1.14300	0.00301219 0.0872201
271	0 1	0.104974 1.15426	0.00299739 0.0871238
272	0 1	0.114057 1.15653	0.00304049 0.0872144
273	0 1	0.106525 1.15048	0.00307869 0.0872627
274	0 1	0.110149 1.16947	0.00311266 0.0873274
275	0 1	0.117786 1.17379	0.00311479 0.0873205
276	0 1	0.0996627 1.15306	0.00317316 0.0873668
277	0 1	0.101281 1.16078	0.00318494 0.0873144
278	0 1	0.109501 1.16064	0.00323783 0.0874148
279	0 1	0.110432 1.14272	0.00325926 0.0874827
280	0 1	0.119290 1.16910	0.00328971 0.0875721
281	0 1	0.108822 1.16137	0.00329157 0.0874790
282	0 1	0.0980269 1.17090	0.00325210 0.0873568
283	0 1	0.120200 1.17189	0.00324014 0.0872641
284	0 1	0.111006 1.17806	0.00329385 0.0873002
285	0 1	0.106999 1.15686	0.00333346 0.0873314
286	0 1	0.106978 1.16006	0.00335845 0.0873529
287	0 1	0.103153 1.15503	0.00340258 0.0874219
288	0 1	0.115483 1.16959	0.00338808 0.0874575
289	0 1	0.107340 1.17719	0.00341272 0.0874541
290	0 1	0.0983201 1.12224	0.00344455 0.0874313
291	0 1	0.103617 1.13388	0.00343528 0.0873160
292	0 1	0.111704 1.16265	0.00345509 0.0872179
293	0 1	0.0977754 1.13471	0.00345078 0.0871053
294	0 1	0.117384 1.18832	0.00343927 0.0870288
295	0 1	0.104924 1.14993	0.00344717 0.0870214
296	0 1	0.0933773 1.14658	0.00348984 0.0871095
297	0 1	0.0995177 1.16958	0.00349033 0.0871080
298	0 1	0.114241 1.16637	0.00351228 0.0871559
299	0 1	0.106599 1.13829	0.00354657 0.0871829
300	0 1	0.126265 1.18669	0.00357510 0.0872215
301	0 1	0.0964968 1.15276	0.00351751 0.0870701
302	0 1	0.103274 1.15057	0.00352412 0.0871071
303	0 1	0.104984 1.15335	0.00355438 0.0871425
304	0 1	0.109330 1.17223	0.00355694 0.0871313
305	0 1	0.0967912 1.14552	0.00360348 0.0872556
